Toll Date,Detection Group,CRZ Entries
2025-02-07,Hugh L. Carey Tunnel,22454
2025-02-07,Lincoln Tunnel,45894
2025-02-07,Manhattan Bridge,32473
2025-02-07,Queens Midtown Tunnel,46583
2025-02-07,Queensboro Bridge,36598
2025-02-07,West 60th St,40536
2025-02-07,West Side Highway at 60th St,46680
2025-02-07,Williamsburg Bridge,41088
2025-02-08,Brooklyn Bridge,26910
2025-02-08,East 60th St,70341
2025-02-08,FDR Drive at 60th St,51615
2025-02-08,Holland Tunnel,34092
2025-02-08,Hugh L. Carey Tunnel,17667
2025-02-08,Lincoln Tunnel,39895
2025-02-08,Manhattan Bridge,27593
2025-02-08,Queens Midtown Tunnel,36334
2025-02-08,Queensboro Bridge,30415
2025-02-08,West 60th St,35655
2025-02-08,West Side Highway at 60th St,36328
2025-02-08,Williamsburg Bridge,40573
2025-02-09,Brooklyn Bridge,24670
2025-02-09,East 60th St,60414
2025-02-09,FDR Drive at 60th St,39813
2025-02-09,Holland Tunnel,32251
2025-02-09,Hugh L. Carey Tunnel,12212
2025-02-09,Lincoln Tunnel,31199
2025-02-09,Manhattan Bridge,23287
2025-02-09,Queens Midtown Tunnel,30546
2025-02-09,Queensboro Bridge,24604
2025-02-09,West 60th St,28772
2025-02-09,West Side Highway at 60th St,26795
2025-02-09,Williamsburg Bridge,36363
2025-02-10,Brooklyn Bridge,26365
2025-02-10,East 60th St,74123
2025-02-10,FDR Drive at 60th St,47600
2025-02-10,Holland Tunnel,38450
2025-02-10,Hugh L. Carey Tunnel,20375
2025-02-10,Lincoln Tunnel,44694
2025-02-10,Manhattan Bridge,25717
2025-02-10,Queens Midtown Tunnel,42721
2025-02-10,Queensboro Bridge,35049
2025-02-10,West 60th St,36576
2025-02-10,West Side Highway at 60th St,40843
2025-02-10,Williamsburg Bridge,37519
2025-02-11,Brooklyn Bridge,25089
2025-02-11,East 60th St,76308
2025-02-11,FDR Drive at 60th St,52125
2025-02-11,Holland Tunnel,36121
2025-02-11,Hugh L. Carey Tunnel,21835
2025-02-11,Lincoln Tunnel,43335
2025-02-11,Manhattan Bridge,27205
2025-02-11,Queens Midtown Tunnel,41533
2025-02-11,Queensboro Bridge,35299
2025-02-11,West 60th St,39822
2025-02-11,West Side Highway at 60th St,44562
2025-02-11,Williamsburg Bridge,38127
2025-02-12,Brooklyn Bridge,27503
2025-02-12,East 60th St,78062
2025-02-12,FDR Drive at 60th St,51997
2025-02-12,Holland Tunnel,36824
2025-02-12,Hugh L. Carey Tunnel,20968
2025-02-12,Lincoln Tunnel,42716
2025-02-12,Manhattan Bridge,27344
2025-02-12,Queens Midtown Tunnel,39566
2025-02-12,Queensboro Bridge,35735
2025-02-12,West 60th St,39707
2025-02-12,West Side Highway at 60th St,43716
2025-02-12,Williamsburg Bridge,39057
2025-02-13,Brooklyn Bridge,28346
2025-02-13,East 60th St,78482
2025-02-13,FDR Drive at 60th St,52363
2025-02-13,Holland Tunnel,40342
2025-02-13,Hugh L. Carey Tunnel,23258
2025-02-13,Lincoln Tunnel,46048
2025-02-13,Manhattan Bridge,30782
2025-02-13,Queens Midtown Tunnel,45799
2025-02-13,Queensboro Bridge,38076
2025-02-13,West 60th St,40698
2025-02-13,West Side Highway at 60th St,46594
2025-02-13,Williamsburg Bridge,41126
2025-02-14,Brooklyn Bridge,29897
2025-02-14,East 60th St,79266
2025-02-14,FDR Drive at 60th St,55471
2025-02-14,Holland Tunnel,43446
2025-02-14,Hugh L. Carey Tunnel,25106
2025-02-14,Lincoln Tunnel,48876
2025-02-14,Manhattan Bridge,32326
2025-02-14,Queens Midtown Tunnel,49762
2025-02-14,Queensboro Bridge,38174
2025-02-14,West 60th St,39782
2025-02-14,West Side Highway at 60th St,50468
2025-02-14,Williamsburg Bridge,41249
2025-02-15,Brooklyn Bridge,28295
2025-02-15,East 60th St,69046
2025-02-15,FDR Drive at 60th St,49913
2025-02-15,Holland Tunnel,38864
2025-02-15,Hugh L. Carey Tunnel,16833
2025-02-15,Lincoln Tunnel,39964
2025-02-15,Manhattan Bridge,29119
2025-02-15,Queens Midtown Tunnel,36831
2025-02-15,Queensboro Bridge,30326
2025-02-15,West 60th St,34866
2025-02-15,West Side Highway at 60th St,36077
2025-02-15,Williamsburg Bridge,40365
2025-02-16,Brooklyn Bridge,27035
2025-02-16,East 60th St,60390
2025-02-16,FDR Drive at 60th St,41353
2025-02-16,Holland Tunnel,37500
2025-02-16,Hugh L. Carey Tunnel,15082
2025-02-16,Lincoln Tunnel,36709
2025-02-16,Manhattan Bridge,23702
2025-02-16,Queens Midtown Tunnel,32578
2025-02-16,Queensboro Bridge,26664
2025-02-16,West 60th St,30672
2025-02-16,West Side Highway at 60th St,31154
2025-02-16,Williamsburg Bridge,39309
2025-02-17,Brooklyn Bridge,24520
2025-02-17,East 60th St,64472
2025-02-17,FDR Drive at 60th St,41609
2025-02-17,Holland Tunnel,39280
2025-02-17,Hugh L. Carey Tunnel,16207
2025-02-17,Lincoln Tunnel,38809
2025-02-17,Manhattan Bridge,23009
2025-02-17,Queens Midtown Tunnel,38627
2025-02-17,Queensboro Bridge,26889
2025-02-17,West 60th St,31566
2025-02-17,West Side Highway at 60th St,33468
2025-02-17,Williamsburg Bridge,36198
2025-02-18,Brooklyn Bridge,28549
2025-02-18,East 60th St,77595
2025-02-18,FDR Drive at 60th St,49671
2025-02-18,Holland Tunnel,39311
2025-02-18,Hugh L. Carey Tunnel,20835
2025-02-18,Lincoln Tunnel,43927
2025-02-18,Manhattan Bridge,26252
2025-02-18,Queens Midtown Tunnel,43370
2025-02-18,Queensboro Bridge,35280
2025-02-18,West 60th St,39115
2025-02-18,West Side Highway at 60th St,44121
2025-02-18,Williamsburg Bridge,38252
2025-02-19,Brooklyn Bridge,26995
2025-02-19,East 60th St,82067
2025-02-19,FDR Drive at 60th St,47297
2025-02-19,Holland Tunnel,38948
2025-02-19,Hugh L. Carey Tunnel,21310
2025-02-19,Lincoln Tunnel,42524
2025-02-19,Manhattan Bridge,30144
2025-02-19,Queens Midtown Tunnel,43186
2025-02-19,Queensboro Bridge,36748
2025-02-19,West 60th St,41888
2025-02-19,West Side Highway at 60th St,46148
2025-02-19,Williamsburg Bridge,35748
2025-02-20,Brooklyn Bridge,23723
2025-02-20,East 60th St,80532
2025-02-20,FDR Drive at 60th St,49149
2025-02-20,Holland Tunnel,38414
2025-02-20,Hugh L. Carey Tunnel,22701
2025-02-20,Lincoln Tunnel,44664
2025-02-20,Manhattan Bridge,35039
2025-02-20,Queens Midtown Tunnel,43534
2025-02-20,Queensboro Bridge,38039
2025-02-20,West 60th St,41494
2025-02-20,West Side Highway at 60th St,47205
2025-02-20,Williamsburg Bridge,40353
2025-02-21,Brooklyn Bridge,29149
2025-02-21,East 60th St,79896
2025-02-21,FDR Drive at 60th St,53866
2025-02-21,Holland Tunnel,40894
2025-02-21,Hugh L. Carey Tunnel,21347
2025-02-21,Lincoln Tunnel,43922
2025-02-21,Manhattan Bridge,29306
2025-02-21,Queens Midtown Tunnel,43342
2025-02-21,Queensboro Bridge,37468
2025-02-21,West 60th St,40533
2025-02-21,West Side Highway at 60th St,44992
2025-02-21,Williamsburg Bridge,41393
2025-02-22,Brooklyn Bridge,30438
2025-02-22,East 60th St,73894
2025-02-22,FDR Drive at 60th St,50621
2025-02-22,Holland Tunnel,42737
2025-02-22,Hugh L. Carey Tunnel,18473
2025-02-22,Lincoln Tunnel,45661
2025-02-22,Manhattan Bridge,29213
2025-02-22,Queens Midtown Tunnel,39796
2025-02-22,Queensboro Bridge,31607
2025-02-22,West 60th St,37540
2025-02-22,West Side Highway at 60th St,42738
2025-02-22,Williamsburg Bridge,42645
2025-02-23,Brooklyn Bridge,28795
2025-02-23,East 60th St,66912
2025-02-23,FDR Drive at 60th St,45869
2025-02-23,Holland Tunnel,41725
2025-02-23,Hugh L. Carey Tunnel,15246
2025-02-23,Lincoln Tunnel,42420
2025-02-23,Manhattan Bridge,26054
2025-02-23,Queens Midtown Tunnel,35855
2025-02-23,Queensboro Bridge,30164
2025-02-23,West 60th St,31743
2025-02-23,West Side Highway at 60th St,36325
2025-02-23,Williamsburg Bridge,41397
2025-02-24,Brooklyn Bridge,27133
2025-02-24,East 60th St,74684
2025-02-24,FDR Drive at 60th St,49377
2025-02-24,Holland Tunnel,37308
2025-02-24,Hugh L. Carey Tunnel,20835
2025-02-24,Lincoln Tunnel,41867
2025-02-24,Manhattan Bridge,26428
2025-02-24,Queens Midtown Tunnel,42853
2025-02-24,Queensboro Bridge,35319
2025-02-24,West 60th St,36841
2025-02-24,West Side Highway at 60th St,41048
2025-02-24,Williamsburg Bridge,37104
2025-02-25,Brooklyn Bridge,28066
2025-02-25,East 60th St,77997
2025-02-25,FDR Drive at 60th St,51900
2025-02-25,Holland Tunnel,37379
2025-02-25,Hugh L. Carey Tunnel,21784
2025-02-25,Lincoln Tunnel,42652
2025-02-25,Manhattan Bridge,27519
2025-02-25,Queens Midtown Tunnel,42457
2025-02-25,Queensboro Bridge,36364
2025-02-25,West 60th St,39764
2025-02-25,West Side Highway at 60th St,46384
2025-02-25,Williamsburg Bridge,39116
2025-02-26,Brooklyn Bridge,28615
2025-02-26,East 60th St,80587
2025-02-26,FDR Drive at 60th St,53240
2025-02-26,Holland Tunnel,39469
2025-02-26,Hugh L. Carey Tunnel,22474
2025-02-26,Lincoln Tunnel,45411
2025-02-26,Manhattan Bridge,28740
2025-02-26,Queens Midtown Tunnel,44706
2025-02-26,Queensboro Bridge,38129
2025-02-26,West 60th St,40289
2025-02-26,West Side Highway at 60th St,49260
2025-02-26,Williamsburg Bridge,39651
2025-02-27,Brooklyn Bridge,29785
2025-02-27,East 60th St,81144
2025-02-27,FDR Drive at 60th St,53973
2025-02-27,Holland Tunnel,40604
2025-02-27,Hugh L. Carey Tunnel,23448
2025-02-27,Lincoln Tunnel,46788
2025-02-27,Manhattan Bridge,30336
2025-02-27,Queens Midtown Tunnel,44587
2025-02-27,Queensboro Bridge,40215
2025-02-27,West 60th St,41616
2025-02-27,West Side Highway at 60th St,48867
2025-02-27,Williamsburg Bridge,40511
2025-02-28,Brooklyn Bridge,29105
2025-02-28,East 60th St,78493
2025-02-28,FDR Drive at 60th St,55900
2025-02-28,Holland Tunnel,40964
2025-02-28,Hugh L. Carey Tunnel,23223
2025-02-28,Lincoln Tunnel,45714
2025-02-28,Manhattan Bridge,30805
2025-02-28,Queens Midtown Tunnel,47740
2025-02-28,Queensboro Bridge,38494
2025-02-28,West 60th St,39157
2025-02-28,West Side Highway at 60th St,47643
2025-02-28,Williamsburg Bridge,41535
2025-03-01,Brooklyn Bridge,30557
2025-03-01,East 60th St,74465
2025-03-01,FDR Drive at 60th St,53450
2025-03-01,Holland Tunnel,42053
2025-03-01,Hugh L. Carey Tunnel,19255
2025-03-01,Lincoln Tunnel,44530
2025-03-01,Manhattan Bridge,29656
2025-03-01,Queens Midtown Tunnel,42738
2025-03-01,Queensboro Bridge,32047
2025-03-01,West 60th St,36815
2025-03-01,West Side Highway at 60th St,44860
2025-03-01,Williamsburg Bridge,42306
2025-03-02,Brooklyn Bridge,29110
2025-03-02,East 60th St,65865
2025-03-02,FDR Drive at 60th St,46897
2025-03-02,Holland Tunnel,40081
2025-03-02,Hugh L. Carey Tunnel,15168
