Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-10,FDR Drive at 60th St,4 - Buses,585
2025-01-10,FDR Drive at 60th St,5 - Motorcycles,134
2025-01-10,FDR Drive at 60th St,TLC Taxi/FHV,19373
2025-01-10,Holland Tunnel,"1 - Cars, Pickups and Vans",26947
2025-01-10,Holland Tunnel,2 - Single-Unit Trucks,1668
2025-01-10,Holland Tunnel,3 - Multi-Unit Trucks,153
2025-01-10,Holland Tunnel,4 - Buses,96
2025-01-10,Holland Tunnel,5 - Motorcycles,18
2025-01-10,Holland Tunnel,TLC Taxi/FHV,7855
2025-01-10,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14200
2025-01-10,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,836
2025-01-10,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,37
2025-01-10,Hugh L. Carey Tunnel,4 - Buses,1444
2025-01-10,Hugh L. Carey Tunnel,5 - Motorcycles,19
2025-01-10,Hugh L. Carey Tunnel,TLC Taxi/FHV,4403
2025-01-10,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30941
2025-01-10,Lincoln Tunnel,2 - Single-Unit Trucks,3528
2025-01-10,Lincoln Tunnel,3 - Multi-Unit Trucks,689
2025-01-10,Lincoln Tunnel,4 - Buses,1556
2025-01-10,Lincoln Tunnel,5 - Motorcycles,133
2025-01-10,Lincoln Tunnel,TLC Taxi/FHV,6157
2025-01-10,Manhattan Bridge,"1 - Cars, Pickups and Vans",16131
2025-01-10,Manhattan Bridge,2 - Single-Unit Trucks,2027
2025-01-10,Manhattan Bridge,3 - Multi-Unit Trucks,321
2025-01-10,Manhattan Bridge,4 - Buses,469
2025-01-10,Manhattan Bridge,5 - Motorcycles,89
2025-01-10,Manhattan Bridge,TLC Taxi/FHV,8864
2025-01-10,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",23128
2025-01-10,Queens Midtown Tunnel,2 - Single-Unit Trucks,2549
2025-01-10,Queens Midtown Tunnel,3 - Multi-Unit Trucks,132
2025-01-10,Queens Midtown Tunnel,4 - Buses,1064
